Store Name,Location,Pin Code,Contact Name,Contact No,Supply ID,Supply Name,Quantity,Expiry Date
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC001,Paracetamol,150,2025-03-15
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC002,Ibuprofen,100,2025-06-30
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC003,Aspirin,120,2025-01-10
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC004,Antibiotic Cream,75,2024-10-05
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC005,Saline Solution,60,2024-08-29
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC006,Insulin,50,2025-01-25
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC007,Vitamin C Tablets,120,2025-06-18
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC008,Cough Syrup,80,2024-11-30
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC009,Allergy Medicine,100,2025-05-10
Hyderabad Health Care,Hyderabad,500001,Dr. Ramesh Kumar,9876543210,HC010,Pain Reliever,90,2025-02-14
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP001,Insulin,50,2025-01-25
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP002,Amoxicillin,200,2024-12-20
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP003,Vitamin C Tablets,180,2024-09-10
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP004,Antibiotic Cream,70,2024-10-20
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP005,Saline Solution,90,2024-08-15
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP006,Paracetamol,130,2025-03-05
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP007,Ibuprofen,160,2024-12-05
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP008,Cough Syrup,85,2024-11-20
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP009,Allergy Medicine,100,2025-07-30
City Pharmacy,Hyderabad,500002,Ms. Aarti Sharma,9123456789,CP010,Pain Reliever,75,2025-04-10
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH001,Paracetamol,100,2024-11-10
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH002,Antibiotic Cream,75,2024-10-05
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH003,Saline Solution,60,2024-08-29
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH004,Insulin,55,2025-03-15
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH005,Amoxicillin,180,2024-12-25
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH006,Vitamin C Tablets,140,2025-01-20
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH007,Cough Syrup,90,2024-10-10
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH008,Allergy Medicine,80,2025-02-05
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH009,Pain Reliever,100,2025-06-30
Apollo Hospital,Hyderabad,500003,Dr. Anil Gupta,9234567890,AH010,Antibiotic Ointment,65,2024-12-01
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP001,Insulin,60,2025-02-15
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP002,Ibuprofen,180,2024-11-30
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP003,Vitamin C Tablets,150,2024-10-10
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP004,Antibiotic Cream,70,2024-09-15
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP005,Saline Solution,85,2024-11-05
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP006,Paracetamol,200,2025-03-20
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP007,Allergy Medicine,95,2025-07-15
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP008,Cough Syrup,90,2024-12-10
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP009,Pain Reliever,85,2025-05-05
MedPlus Pharmacy,Hyderabad,500004,Mr. Ravi Rao,9345678901,MP010,Antibiotic Ointment,60,2024-10-25
Care Hospital,Hyderabad,500005,Dr. Sita Patel,9456789012,CH001,Paracetamol,200,2025-05-20
Care Hospital,Hyderabad,500005,Dr. Sita Patel,9456789012,CH002,Amoxicillin,250,2024-12-25
Care Hospital,Hyderabad,500005,Dr. Sita Patel,9456789012,CH003,Insulin,70,2025-03-05
Care Hospital,Hyderabad,500005,Dr. Sita Patel,9456789012,CH004,Antibiotic Cream,80,2024-09-15
